page_id,query,country,source,observed,value,observed_at,notes,locale,collection_method,confidence,unit,language,raw_label
dest:paris:winter,what to wear in paris in february,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in paris in february | what to wear in paris in february 2026 | what to wear in paris in february 2025 | what to wear in paris in february weather | what to wear in paris in february men
dest:paris:march,what to wear in paris in march,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in paris in march | what to wear in paris in march women | what to wear in paris in march 2026 | what to wear in paris in march 2025 | what to wear in paris in march men
dest:paris:april,what to wear in paris in april,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in paris in april | what to wear in paris in april for a week | what to wear in paris in april 2026 | what to wear in paris in april women | what to wear in paris in april men
dest:paris:may,what to wear in paris in may,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in paris in may | what to wear in paris in may 2026 | what to wear in paris in may for a week | what to wear in paris in may men | what to wear in paris in may 2025
dest:paris:september,what to wear in paris in september,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in paris in september | what to wear in paris in september for ladies | what to wear in paris in september 2026 | what to wear in paris in september men | what to wear in paris in september 2026 women's
dest:paris:october,what to wear in paris in october,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in paris in october | what to wear in paris in october female | what to wear in paris in october men | what to wear in paris in october 2026 | what to wear in paris in october women
dest:paris:november,what to wear in paris in november,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in paris in november | what to wear in paris in november 2026 | what to wear in paris in november women | what to wear in paris in november 2025 | what to wear in paris in november men
dest:tokyo:winter,what to wear in tokyo in february,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in february | what to wear in tokyo in february 2026 | what to wear in tokyo in february 2025 | what to wear in tokyo in feb | what shoes to wear in tokyo in february
dest:tokyo:march,what to wear in tokyo in march,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in march | what to wear in tokyo in march 2026 | what to wear in tokyo in march april | what to wear in tokyo in march female | what to wear in tokyo in march men
dest:tokyo:april,what to wear in tokyo in april,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in april | what to wear in tokyo in april weather | what to wear in tokyo in april 2026 | what to wear in tokyo in april and may | what to wear in tokyo japan in april
dest:tokyo:may,what to wear in tokyo in may,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in may | what to wear in tokyo in may 2026 | what to wear in tokyo in may 2025 | what to wear in tokyo in may june | what to wear in tokyo in may men
dest:tokyo:june,what to wear in tokyo in june,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in june | what to wear in tokyo in june female | what to wear in tokyo in june 2026 | what to wear in tokyo in june men | what to wear in tokyo in early june
dest:tokyo:september,what to wear in tokyo in september,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in september | what to wear in tokyo in september female | what to wear in tokyo in september men | what to wear in tokyo in late september | what to wear in tokyo in early september
dest:tokyo:october,what to wear in tokyo in october,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in october | what to wear in tokyo in october female | what to wear in tokyo in october for men | what to wear in tokyo in october 2025 | what to wear in tokyo in late october
dest:tokyo:november,what to wear in tokyo in november,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in tokyo in november | what to wear in tokyo in november female | what to wear in tokyo in november men | what to wear in tokyo in november 2025 | what to wear in tokyo in november weather
dest:new-york:march,what to wear in new york in march,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in new york in march | what to wear in new york in march women's | what to wear in new york in march 2026 | what to wear in new york in march and april | what to wear in new york in march 2025
dest:new-york:april,what to wear in new york in april,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in new york in april | what to wear in new york in april 2026 | what to wear in new york in april female | what to wear in new york in april men | what to wear in new york in april 2025
dest:new-york:may,what to wear in new york in may,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in new york in may | what to wear in new york in may 2026 | what to wear in new york in may female | what to wear in new york in may for a week | what to wear in new york in may 2025
dest:new-york:june,what to wear in new york in june,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in new york in june | what to wear in new york in june female | what to wear in new york in june 2026 | what to wear in new york in june men | what to wear in new york city in june
dest:new-york:september,what to wear in new york in september,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in new york in september | what to wear in new york in september female | what to wear in new york in september men | what to wear in new york in september 2025 | what to wear in new york in september october
dest:new-york:october,what to wear in new york in october,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in new york in october | what to wear in new york in october 2026 | what to wear in new york in october 2025 | what to wear in new york in october weather | what to wear in new york in october 2024
dest:new-york:november,what to wear in new york in november,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in new york in november | what to wear in new york in november women's | what to wear in new york in november 2025 | what to wear in new york in november men | what to wear in new york in november weather
dest:london:may,what to wear in london in may,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in london in may | what to wear in london in may 2026 | what to wear in london in may and june | what to wear in london in may women | what to wear in london in may men
dest:london:october,what to wear in london in october,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in london in october | what to wear in london in october female | what to wear in london in october men | what to wear in london in october 2025 | what to wear in london in october november
dest:london:november,what to wear in london in november,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in london in november | what to wear in london in november women | what to wear in london in november men | what to wear in london in november 2025 | what to wear in london in november weather
dest:barcelona:may,what to wear in barcelona in may,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in barcelona in may | what to wear in barcelona in may 2026 | what to wear in barcelona in may for ladies | what to wear in barcelona in may men | what to wear in barcelona in may for a week
dest:barcelona:summer,what to wear in barcelona in july,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,what to wear in barcelona in july | what to wear in barcelona in july 2025 | what to.wear in barcelona in july men | what to wear in barcelona in july women | what to wear in barcelona in june
