priority,brand,appliance,errorCode,pageId,currentSourceLevel,candidateManufacturerDomain,exactSourceUrl,documentTitle,page,section,status,blocker
1,Samsung,Washer,4C,fix:samsung:washer:4c,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
2,Samsung,Washer,4E,fix:samsung:washer:4e,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/the-4e-error-is-displayed-on-the-panel-of-my-washing-machine-what-can-i-do/,The 4E error is displayed on the panel of my washing machine. What can I do?,support-article,4E / 4C water supply,verified,
3,Samsung,Washer,5E,fix:samsung:washer:5e,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
4,Samsung,Washer,5C,fix:samsung:washer:5c,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
5,Samsung,Washer,1E,fix:samsung:washer:1e,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
6,Samsung,Washer,1C,fix:samsung:washer:1c,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
7,Samsung,Washer,3E,fix:samsung:washer:3e,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
8,Samsung,Washer,3C,fix:samsung:washer:3c,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
9,Samsung,Washer,8C,fix:samsung:washer:8c,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
10,Samsung,Washer,UE,fix:samsung:washer:ue,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
11,Samsung,Washer,Ub,fix:samsung:washer:ub,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
12,Samsung,Washer,HE,fix:samsung:washer:he,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,meaning aligned to official water-temperature row
13,Samsung,Washer,HC,fix:samsung:washer:hc,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,meaning aligned to official water-temperature row
14,Samsung,Washer,Sud,fix:samsung:washer:sud,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
15,Samsung,Washer,DC1,fix:samsung:washer:dc1,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
16,Samsung,Washer,4C2,fix:samsung:washer:4c2,PRIMARY_EXACT,samsung.com,https://www.samsung.com/uk/support/home-appliances/what-do-the-codes-on-my-washing-machine-mean/,What do the codes on my washing machine mean?,support-article,Error code table,verified,
17,LG,Washer,OE,fix:lg:washer:oe,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
