page_id,query,country,source,observed,value,observed_at,notes,locale,collection_method,confidence,unit,language,raw_label
fix:bosch:dishwasher:e15,bosch e15 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,bosch e15 error | bosch e15 error code | bosch e15 error code dishwasher | bosch e15 error dishwasher | bosch e15 error pump keeps running
fix:samsung:washer:4c,samsung 4c error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 4c error | samsung 4c error code | samsung 4c error code washer | samsung 4c error dishwasher | samsung 4c error top load
fix:samsung:washer:5c,samsung 5c error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 5c error | samsung 5c error code | samsung 5c error code washing machine | samsung 5c error washer | samsung 5c error dishwasher
fix:samsung:washer:ue,samsung ue error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung ue error code | samsung ue error | samsung ue error washing machine | samsung ue error washer | samsung ue error code washing machine
fix:lg:washer:ie,lg ie error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg ie error | lg ie error code | lg ie error washer | lg ie error dishwasher | lg ie error washing machine
fix:lg:washer:oe,lg oe error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg oe error | lg oe error code | lg oe error washing machine | lg oe error code dishwasher | lg oe error dishwasher
fix:lg:washer:ue,lg ue error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg ue error | lg ue error code | lg ue error code washing machine | lg ue error washer | lg ue error top load
fix:samsung:washer:4e,samsung 4e error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 4e error | samsung 4e error code | samsung 4e error code washing machine | samsung 4e error washing machine | samsung 4e error top load
fix:samsung:washer:5e,samsung 5e error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 5e error | samsung 5e error code | samsung 5e error reset | samsung 5e error refrigerator | samsung 5e error microwave
fix:lg:washer:de,lg de error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg de error | lg de error code | lg de error washing machine | lg de error but door is closed | lg de error reset
fix:samsung:washer:1c,samsung 1c error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 1c error code | samsung 1c error | samsung 1c error dishwasher | samsung ic error code | error in samsung
fix:samsung:washer:ub,samsung ub error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung ub error code | samsung ub error | samsung ub error washing machine | samsung ub error washer | samsung ub error code washer
fix:samsung:washer:sud,samsung sud error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung sud error | samsung sud error code | samsung sud error code fix | samsung sud error reset | samsung sud error washing machine
fix:lg:washer:fe,lg fe error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg fe error | lg ffe error | lg fe error washing machine | lg ffe error code | lg fe error code washing machine
fix:lg:washer:pe,lg pe error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg pe error code | lg pe error | lg pe error code washer | lg pe error code dishwasher | lg pe error washing machine
fix:lg:washer:le,lg le error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg le error | lg le error code | lg le error dishwasher | lg le error code dishwasher | lg le error code washer
fix:samsung:washer:3c,samsung 3c error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 3c error | samsung 3c error dryer | samsung 3c error washer | samsung 3c error code | samsung 3c error dishwasher
fix:samsung:washer:1e,samsung 1e error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 1e error | samsung 1e error washing machine | samsung 1e error fridge | samsung 1e error code refrigerator | samsung 1e error code
fix:samsung:washer:3e,samsung 3e error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 3e error code | samsung 3e error | samsung 3e error code washing machine | samsung 3e error washing machine | samsung 3e error reset
fix:samsung:washer:dc1,samsung dc1 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung dc1 error | samsung dc1 error code | samsung washer dc1 error | samsung washer dc1 error code | samsung ecobubble dc1 error
fix:samsung:washer:he,samsung he error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung he error code | samsung he error code dryer | samsung he error | samsung he error dryer | samsung he error reset
fix:lg:washer:te,lg te error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg te error code | lg te error | lg te error code washing machine | lg te error washing machine | lg te error fix
fix:samsung:washer:8c,samsung 8c error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 8c error code | samsung 8c error code washer | samsung 8c error | samsung 8c error code fridge | samsung 8c error code reset
fix:samsung:washer:hc,samsung hc error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung hc error | samsung hc error code | samsung hc error code dryer | samsung hc error dryer | samsung hc error code reset
fix:samsung:washer:4c2,samsung 4c2 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 4c2 error | samsung 4c2 error code | samsung 4c2 error washer | samsung 4c2 error reset | samsung washer 4c2 error code
fix:samsung:washer:dc,samsung dc error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung dc error code | samsung dc error | samsung dc error code dryer | samsung dc error code washing machine | samsung dc error washing machine
fix:samsung:washer:oe,samsung oe error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung oe error | samsung oe error code | samsung oe error washing machine | samsung oe error dishwasher | samsung oe error code dishwasher
fix:samsung:washer:le,samsung le error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung le error code | samsung le error | samsung le error code washing machine | samsung le error dishwasher | samsung le error code dishwasher
fix:samsung:washer:te,samsung te error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung te error code | samsung te error | samsung te error dryer | samsung te error washer | samsung te error code washer
fix:bosch:dishwasher:e24,bosch e24 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,bosch e24 error | bosch e24 error code dishwasher | bosch e24 error dishwasher | bosch e24 error no blockage | bosch e24 error fix
fix:bosch:dishwasher:e25,bosch e25 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,bosch e25 error | bosch e25 error code dishwasher | bosch e25 error dishwasher | bosch e25 error code | bosch e25 error no blockage
fix:bosch:washer:e18,bosch e18 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,bosch e18 error | bosch e18 error code | bosch e18 error washing machine | bosch e18 error no blockage | bosch e18 error dishwasher
fix:miele:washer:f70,miele f70 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,miele f70 error code | miele f70 error | miele f70 error how to fix | miele f70 error dishwasher | miele f70 error reset
fix:samsung:fridge:5e,samsung 5e error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 5e error | samsung 5e error code | samsung 5e error reset | samsung 5e error refrigerator | samsung 5e error microwave
fix:lg:dryer:d80,lg d80 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,lg d80 error | lg d80 error code | lg d80 error dryer | lg d80 error reset | lg d80 error fix
fix:samsung:washer:3c1,samsung 3c1 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=7,en-US,API,0.55,,en,samsung 3c1 error code | samsung washer 3c1 error code | samsung dishwasher 3c1 error code | lavadora samsung error 3c1 | samsung erro 3c1
fix:samsung:washer:3c3,samsung 3c3 error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 3c3 error code | samsung 3c3 error | samsung washer 3c3 error code | samsung washer 3c3 error | lavadora samsung error 3c3
fix:samsung:washer:9c,samsung 9c error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung 9c error | samsung uc error code | samsung washer 9c error code | samsung dryer 9c error code | samsung washing machine 9c error
fix:samsung:washer:uc,samsung uc error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung uc error code | samsung uc error | samsung uc error washing machine | samsung uc error reset | samsung uc fault
fix:samsung:washer:lc,samsung lc error,US,AUTOCOMPLETE,true,,2026-09-15T07:00:55.640Z,google-suggest status=200 n=8,en-US,API,0.55,,en,samsung lc error | samsung lc error code | samsung lc error code dishwasher | samsung lc error dishwasher | samsung lc error code washing machine
